user_id,application_at,loan_outcome,application_year,application_month,application_day,is_weekend
1,2017-08-14 09:08:50.000000,0,2017,8,14,0
2,2016-05-17 10:10:12.447976,1,2016,5,17,0
3,2016-10-20 10:07:20.459081,0,2016,10,20,0
4,2017-01-13 13:03:34.000000,0,2017,1,13,0
5,2016-11-03 15:41:39.124610,1,2016,11,3,0
6,2018-02-25 14:43:24.000000,0,2018,2,25,1
7,2016-07-11 14:07:46.202826,1,2016,7,11,0
8,2017-02-20 16:22:44.000000,0,2017,2,20,0
9,2018-01-03 16:21:38.000000,0,2018,1,3,0
10,2018-02-01 11:24:01.000000,1,2018,2,1,0
11,2017-01-31 06:06:29.000000,1,2017,1,31,0
12,2018-08-04 03:05:50.000000,1,2018,8,4,1
13,2018-09-28 12:22:32.000000,0,2018,9,28,0
14,2017-12-15 20:09:28.000000,1,2017,12,15,0
15,2016-12-15 06:15:31.000000,1,2016,12,15,0
16,2017-06-08 06:32:33.000000,1,2017,6,8,0
17,2018-04-12 17:21:54.000000,1,2018,4,12,0
18,2017-03-05 07:32:18.000000,0,2017,3,5,1
19,2017-01-24 13:36:42.000000,1,2017,1,24,0
20,2018-09-17 10:30:08.000000,0,2018,9,17,0
21,2018-11-20 07:24:53.000000,1,2018,11,20,0
22,2018-09-26 16:36:13.000000,0,2018,9,26,0
23,2017-08-11 04:38:05.000000,0,2017,8,11,0
24,2018-08-23 05:34:43.000000,1,2018,8,23,0
25,2016-03-13 19:18:20.597393,1,2016,3,13,1
26,2018-02-21 09:38:01.000000,1,2018,2,21,0
27,2018-06-05 09:27:02.000000,1,2018,6,5,0
28,2016-12-30 13:59:12.000000,0,2016,12,30,0
29,2015-06-29 15:30:55.000000,1,2015,6,29,0
30,2016-09-03 20:29:01.104246,1,2016,9,3,1
31,2018-08-18 11:41:04.000000,1,2018,8,18,1
32,2018-01-09 03:08:25.000000,1,2018,1,9,0
33,2017-11-25 21:16:44.000000,0,2017,11,25,1
34,2016-11-16 16:34:56.545478,0,2016,11,16,0
35,2017-12-09 10:45:04.000000,1,2017,12,9,1
36,2017-07-12 12:25:13.000000,1,2017,7,12,0
37,2017-04-20 05:26:39.000000,1,2017,4,20,0
38,2016-12-01 13:59:49.000000,1,2016,12,1,0
39,2017-09-12 16:37:27.000000,1,2017,9,12,0
40,2018-03-04 15:43:17.000000,0,2018,3,4,1
41,2017-06-20 14:06:19.000000,0,2017,6,20,0
42,2017-08-29 03:44:07.000000,0,2017,8,29,0
43,2017-05-27 05:37:06.000000,1,2017,5,27,1
44,2017-07-27 03:37:08.000000,0,2017,7,27,0
45,2016-05-24 18:41:48.000000,1,2016,5,24,0
46,2017-06-27 19:24:55.000000,1,2017,6,27,0
47,2017-04-25 09:32:40.000000,0,2017,4,25,0
48,2017-05-29 19:22:31.000000,0,2017,5,29,0
49,2016-08-23 05:14:23.360387,1,2016,8,23,0
50,2017-01-31 16:21:49.000000,0,2017,1,31,0
51,2016-12-07 08:48:01.000000,1,2016,12,7,0
52,2018-05-05 13:21:37.000000,0,2018,5,5,1
53,2018-08-07 06:07:16.000000,0,2018,8,7,0
54,2017-08-01 12:33:25.000000,1,2017,8,1,0
55,2018-09-28 13:03:11.000000,1,2018,9,28,0
56,2016-09-19 19:53:05.843507,1,2016,9,19,0
57,2017-06-15 10:02:11.000000,1,2017,6,15,0
58,2017-09-06 08:57:36.000000,1,2017,9,6,0
59,2018-07-31 10:59:25.000000,0,2018,7,31,0
60,2016-06-29 14:12:54.652045,1,2016,6,29,0
61,2016-08-28 10:53:51.000000,0,2016,8,28,1
62,2017-12-05 07:10:15.000000,1,2017,12,5,0
63,2017-08-20 07:09:57.000000,0,2017,8,20,1
64,2017-08-07 15:44:14.000000,0,2017,8,7,0
65,2017-11-24 16:46:55.000000,1,2017,11,24,0
66,2018-09-06 14:59:46.000000,0,2018,9,6,0
67,2016-11-30 10:18:50.000000,0,2016,11,30,0
68,2017-01-19 14:37:01.000000,0,2017,1,19,0
69,2017-01-25 08:41:00.000000,0,2017,1,25,0
70,2018-10-29 17:33:06.000000,1,2018,10,29,0
71,2017-02-20 16:40:03.000000,0,2017,2,20,0
72,2018-05-02 09:21:25.000000,0,2018,5,2,0
73,2018-10-05 06:38:18.000000,1,2018,10,5,0
74,2017-03-10 13:37:47.000000,0,2017,3,10,0
75,2018-06-06 13:29:09.000000,0,2018,6,6,0
76,2018-03-11 10:46:35.000000,0,2018,3,11,1
77,2018-07-05 10:05:00.000000,1,2018,7,5,0
78,2017-12-22 10:34:53.000000,0,2017,12,22,0
79,2016-04-06 16:52:47.678641,1,2016,4,6,0
80,2016-03-02 20:08:09.783785,1,2016,3,2,0
81,2018-04-13 05:42:13.000000,0,2018,4,13,0
82,2016-12-27 12:15:33.000000,0,2016,12,27,0
83,2016-11-25 21:11:58.575495,1,2016,11,25,0
84,2017-07-01 08:50:53.000000,1,2017,7,1,1
85,2017-12-28 07:33:31.000000,0,2017,12,28,0
86,2016-11-17 03:48:39.689915,0,2016,11,17,0
87,2016-12-28 05:48:38.000000,1,2016,12,28,0
88,2016-09-23 11:26:56.000000,0,2016,9,23,0
89,2016-08-19 16:20:48.974338,0,2016,8,19,0
90,2018-10-05 05:58:34.000000,1,2018,10,5,0
91,2016-08-31 16:17:10.722880,1,2016,8,31,0
92,2018-06-03 04:49:57.000000,1,2018,6,3,1
93,2018-08-21 05:15:15.000000,0,2018,8,21,0
94,2017-11-22 08:41:31.000000,1,2017,11,22,0
95,2017-07-08 10:20:06.000000,0,2017,7,8,1
96,2016-06-24 08:33:51.894232,1,2016,6,24,0
97,2016-12-14 17:07:34.000000,1,2016,12,14,0
98,2017-01-29 15:32:19.000000,1,2017,1,29,1
99,2017-02-02 09:12:11.000000,0,2017,2,2,0
100,2016-11-27 14:31:23.324919,1,2016,11,27,1
101,2017-11-13 18:09:49.000000,1,2017,11,13,0
102,2018-07-07 09:24:40.000000,1,2018,7,7,1
103,2017-08-01 12:21:48.000000,1,2017,8,1,0
104,2016-04-07 03:55:30.625646,1,2016,4,7,0
105,2017-05-31 19:39:27.000000,1,2017,5,31,0
106,2018-07-12 10:46:33.000000,0,2018,7,12,0
107,2018-11-05 04:18:23.000000,1,2018,11,5,0
108,2018-08-10 05:17:05.000000,0,2018,8,10,0
109,2017-11-16 14:11:36.000000,1,2017,11,16,0
110,2017-08-19 12:40:00.000000,1,2017,8,19,1
111,2017-02-17 05:10:53.000000,1,2017,2,17,0
112,2018-03-28 11:30:21.000000,0,2018,3,28,0
113,2018-05-05 09:34:19.000000,0,2018,5,5,1
114,2018-05-18 06:38:18.000000,0,2018,5,18,0
115,2016-06-07 21:04:03.046526,1,2016,6,7,0
116,2016-12-12 12:41:32.000000,0,2016,12,12,0
117,2016-07-29 10:00:30.000000,1,2016,7,29,0
118,2017-04-07 07:47:01.000000,0,2017,4,7,0
119,2018-08-06 06:20:48.000000,0,2018,8,6,0
120,2018-03-26 06:18:42.000000,1,2018,3,26,0
121,2016-08-12 12:36:01.576546,1,2016,8,12,0
122,2018-04-07 19:00:59.000000,0,2018,4,7,1
123,2017-10-13 05:12:59.000000,1,2017,10,13,0
124,2017-11-19 07:58:37.000000,1,2017,11,19,1
125,2018-02-05 10:54:48.000000,0,2018,2,5,0
126,2016-12-07 14:49:01.000000,0,2016,12,7,0
127,2016-07-12 12:07:46.000000,1,2016,7,12,0
128,2017-05-22 13:14:19.000000,0,2017,5,22,0
129,2018-02-14 01:07:53.000000,1,2018,2,14,0
130,2016-08-07 14:38:04.000000,1,2016,8,7,1
131,2018-09-18 12:37:43.000000,1,2018,9,18,0
132,2017-03-28 13:48:12.000000,0,2017,3,28,0
133,2015-12-30 07:28:36.408916,1,2015,12,30,0
134,2017-04-03 12:50:11.000000,1,2017,4,3,0
135,2016-11-11 22:26:17.809428,1,2016,11,11,0
136,2018-07-11 09:44:07.000000,0,2018,7,11,0
137,2018-08-08 08:13:19.000000,1,2018,8,8,0
138,2016-12-30 06:11:25.000000,1,2016,12,30,0
139,2016-05-14 19:13:03.599541,1,2016,5,14,1
140,2018-10-16 09:20:25.000000,1,2018,10,16,0
141,2017-02-06 08:32:28.000000,1,2017,2,6,0
142,2018-03-20 07:50:13.000000,0,2018,3,20,0
143,2017-08-18 08:44:50.000000,1,2017,8,18,0
144,2017-03-26 07:47:26.000000,0,2017,3,26,1
145,2017-05-17 17:24:48.000000,0,2017,5,17,0
146,2017-04-30 10:34:21.000000,1,2017,4,30,1
147,2017-12-30 17:02:01.000000,1,2017,12,30,1
148,2018-08-09 06:47:58.000000,0,2018,8,9,0
149,2018-03-01 13:09:18.000000,1,2018,3,1,0
150,2016-09-16 16:08:39.542030,0,2016,9,16,0
151,2017-03-02 05:39:51.000000,1,2017,3,2,0
152,2016-12-19 11:31:20.000000,0,2016,12,19,0
153,2017-07-20 05:39:14.000000,1,2017,7,20,0
154,2018-05-30 15:00:12.000000,0,2018,5,30,0
155,2017-04-05 10:34:02.000000,0,2017,4,5,0
156,2017-06-24 15:30:51.000000,1,2017,6,24,1
157,2016-07-01 08:47:32.000000,0,2016,7,1,0
158,2016-07-02 03:12:33.483355,1,2016,7,2,1
159,2016-12-14 08:01:11.000000,0,2016,12,14,0
160,2017-09-08 15:43:27.000000,1,2017,9,8,0
161,2017-06-06 18:23:24.000000,0,2017,6,6,0
162,2016-11-19 10:20:01.642847,1,2016,11,19,1
163,2016-07-28 13:55:12.000000,1,2016,7,28,0
164,2018-10-03 19:20:52.000000,1,2018,10,3,0
165,2017-11-07 04:34:48.000000,1,2017,11,7,0
166,2018-08-01 08:11:09.000000,0,2018,8,1,0
167,2016-12-13 15:58:11.000000,1,2016,12,13,0
168,2017-02-04 13:42:36.000000,1,2017,2,4,1
169,2017-05-26 13:09:41.000000,0,2017,5,26,0
170,2017-02-10 16:08:14.000000,1,2017,2,10,0
171,2018-06-25 14:37:05.000000,0,2018,6,25,0
172,2018-07-08 18:52:44.000000,0,2018,7,8,1
173,2018-02-11 13:03:40.000000,1,2018,2,11,1
174,2017-01-13 14:06:55.000000,0,2017,1,13,0
175,2017-02-13 09:09:20.000000,0,2017,2,13,0
176,2017-09-02 13:25:56.000000,1,2017,9,2,1
177,2016-10-26 10:09:54.000000,0,2016,10,26,0
178,2016-09-19 14:10:40.475709,0,2016,9,19,0
179,2017-12-29 06:37:09.000000,1,2017,12,29,0
180,2017-02-23 11:34:46.000000,0,2017,2,23,0
181,2017-06-19 06:09:17.000000,0,2017,6,19,0
182,2017-07-13 08:56:47.000000,1,2017,7,13,0
183,2016-12-07 10:48:25.000000,1,2016,12,7,0
184,2018-03-24 07:36:50.000000,0,2018,3,24,1
185,2018-08-11 11:22:34.000000,0,2018,8,11,1
186,2018-07-23 17:48:45.000000,0,2018,7,23,0
187,2017-06-09 07:35:18.000000,1,2017,6,9,0
188,2017-12-18 15:56:29.000000,1,2017,12,18,0
189,2017-03-08 11:33:32.000000,1,2017,3,8,0
190,2016-11-30 08:47:53.000000,0,2016,11,30,0
191,2018-03-07 10:33:27.000000,1,2018,3,7,0
192,2017-05-09 15:20:45.000000,0,2017,5,9,0
193,2016-07-14 13:41:22.000000,1,2016,7,14,0
194,2016-08-10 11:23:30.147268,1,2016,8,10,0
195,2017-08-24 06:41:22.000000,1,2017,8,24,0
196,2017-04-10 11:45:48.000000,0,2017,4,10,0
197,2018-05-06 04:19:17.000000,1,2018,5,6,1
198,2018-10-23 09:54:58.000000,1,2018,10,23,0
199,2018-01-27 12:12:13.000000,0,2018,1,27,1
200,2018-06-22 09:38:54.000000,0,2018,6,22,0
201,2018-05-27 09:50:27.000000,1,2018,5,27,1
202,2017-08-15 18:02:25.000000,1,2017,8,15,0
203,2017-09-22 10:39:14.000000,0,2017,9,22,0
204,2018-12-02 11:46:47.000000,1,2018,12,2,1
205,2016-12-25 14:08:46.000000,0,2016,12,25,1
206,2016-09-02 05:56:43.590182,0,2016,9,2,0
207,2017-09-30 16:06:02.000000,1,2017,9,30,1
208,2016-06-11 10:22:08.982256,0,2016,6,11,1
209,2017-04-06 06:55:52.000000,0,2017,4,6,0
210,2016-07-04 13:55:12.000000,1,2016,7,4,0
211,2017-04-07 19:37:58.000000,1,2017,4,7,0
212,2017-10-18 06:49:14.000000,1,2017,10,18,0
213,2015-11-26 13:04:12.412936,1,2015,11,26,0
214,2018-06-10 07:12:55.000000,0,2018,6,10,1
215,2018-05-29 17:38:12.000000,0,2018,5,29,0
216,2018-05-26 08:54:25.000000,0,2018,5,26,1
217,2017-11-22 07:56:45.000000,0,2017,11,22,0
218,2018-06-02 09:12:03.000000,0,2018,6,2,1
219,2017-10-28 14:35:51.000000,0,2017,10,28,1
220,2016-12-29 18:00:28.000000,0,2016,12,29,0
221,2017-08-20 09:24:20.000000,1,2017,8,20,1
222,2018-04-20 03:18:59.000000,0,2018,4,20,0
223,2015-09-04 12:40:45.000000,1,2015,9,4,0
224,2018-04-07 10:16:33.000000,1,2018,4,7,1
225,2018-03-05 08:50:13.000000,0,2018,3,5,0
226,2017-08-27 07:06:12.000000,1,2017,8,27,1
227,2018-05-30 12:06:54.000000,1,2018,5,30,0
228,2016-08-29 13:03:57.000000,1,2016,8,29,0
229,2016-05-28 16:05:04.442333,1,2016,5,28,1
230,2017-02-10 05:40:48.000000,0,2017,2,10,0
231,2018-05-30 07:24:17.000000,1,2018,5,30,0
232,2017-02-26 09:41:34.000000,0,2017,2,26,1
233,2017-10-07 11:06:38.000000,1,2017,10,7,1
234,2017-12-21 09:56:05.000000,0,2017,12,21,0
235,2016-10-18 10:35:58.000000,1,2016,10,18,0
236,2016-08-18 05:57:16.000000,1,2016,8,18,0
237,2018-08-21 17:21:49.000000,0,2018,8,21,0
238,2016-07-31 08:17:56.000215,0,2016,7,31,1
239,2017-02-05 20:13:50.000000,0,2017,2,5,1
240,2016-12-12 19:01:40.000000,0,2016,12,12,0
241,2016-10-05 09:05:35.444068,0,2016,10,5,0
242,2016-07-03 13:26:19.795963,1,2016,7,3,1
243,2017-01-02 11:34:44.000000,0,2017,1,2,0
244,2016-08-12 09:24:49.000000,0,2016,8,12,0
245,2015-07-11 10:59:00.000000,1,2015,7,11,1
246,2017-02-16 15:31:21.000000,0,2017,2,16,0
247,2018-05-06 12:49:32.000000,0,2018,5,6,1
248,2016-04-28 08:53:42.165742,1,2016,4,28,0
249,2018-02-10 22:42:52.000000,0,2018,2,10,1
250,2018-07-04 14:08:40.000000,1,2018,7,4,0
251,2017-01-20 19:36:12.000000,0,2017,1,20,0
252,2018-06-09 15:57:16.000000,0,2018,6,9,1
253,2018-07-18 12:26:57.000000,0,2018,7,18,0
254,2017-11-09 12:14:26.000000,0,2017,11,9,0
255,2016-05-17 07:16:54.000000,1,2016,5,17,0
256,2016-06-29 14:27:28.912547,1,2016,6,29,0
257,2018-03-03 10:17:23.000000,0,2018,3,3,1
258,2018-02-11 08:49:43.000000,0,2018,2,11,1
259,2017-09-13 02:19:45.000000,1,2017,9,13,0
260,2018-02-07 04:26:16.000000,0,2018,2,7,0
261,2017-11-06 17:09:20.000000,1,2017,11,6,0
262,2018-03-04 15:09:17.000000,0,2018,3,4,1
263,2018-01-12 08:38:28.000000,0,2018,1,12,0
264,2017-12-28 19:32:05.000000,1,2017,12,28,0
265,2017-06-10 08:33:42.000000,1,2017,6,10,1
266,2017-12-11 05:34:10.000000,1,2017,12,11,0
267,2017-01-21 16:00:38.000000,1,2017,1,21,1
268,2016-12-08 12:19:14.000000,1,2016,12,8,0
269,2016-11-10 10:35:51.144199,1,2016,11,10,0
270,2017-08-29 16:25:04.000000,0,2017,8,29,0
271,2017-03-24 14:29:42.000000,0,2017,3,24,0
272,2017-03-23 07:14:23.000000,1,2017,3,23,0
273,2017-02-15 12:15:26.000000,1,2017,2,15,0
274,2015-11-02 15:16:22.000000,1,2015,11,2,0
275,2018-12-07 06:32:16.000000,1,2018,12,7,0
276,2018-07-19 17:22:22.000000,0,2018,7,19,0
277,2018-02-27 04:54:49.000000,0,2018,2,27,0
278,2016-11-16 12:34:03.000000,1,2016,11,16,0
279,2016-07-14 08:38:55.852073,1,2016,7,14,0
280,2018-10-15 18:20:52.000000,1,2018,10,15,0
281,2016-05-11 18:02:00.357504,1,2016,5,11,0
282,2018-06-24 17:01:46.000000,0,2018,6,24,1
283,2018-09-03 12:27:29.000000,0,2018,9,3,0
284,2018-07-29 06:16:09.000000,1,2018,7,29,1
285,2018-06-29 12:41:12.000000,0,2018,6,29,0
286,2016-11-08 18:27:06.163537,1,2016,11,8,0
287,2017-12-28 10:17:52.000000,1,2017,12,28,0
288,2016-03-14 05:19:28.310401,1,2016,3,14,0
289,2017-03-16 15:02:16.000000,0,2017,3,16,0
290,2017-10-30 04:51:15.000000,0,2017,10,30,0
291,2016-12-02 20:06:27.000000,0,2016,12,2,0
292,2018-07-08 11:50:56.000000,0,2018,7,8,1
293,2018-07-30 06:26:35.000000,1,2018,7,30,0
294,2016-11-07 09:27:48.000000,1,2016,11,7,0
295,2017-01-26 23:14:58.000000,1,2017,1,26,0
296,2017-04-12 16:15:54.000000,0,2017,4,12,0
297,2015-11-03 09:35:15.000000,1,2015,11,3,0
298,2017-07-25 14:52:53.000000,0,2017,7,25,0
299,2017-05-05 04:48:02.000000,1,2017,5,5,0
300,2018-12-07 11:46:31.000000,1,2018,12,7,0
301,2018-08-17 03:13:17.000000,1,2018,8,17,0
302,2018-07-24 15:36:57.000000,0,2018,7,24,0
303,2017-11-16 04:32:27.000000,1,2017,11,16,0
304,2018-01-05 18:35:54.000000,0,2018,1,5,0
305,2017-02-13 11:22:02.000000,0,2017,2,13,0
306,2018-03-11 11:12:53.000000,0,2018,3,11,1
307,2018-01-22 13:14:38.000000,1,2018,1,22,0
308,2017-10-11 19:36:59.000000,0,2017,10,11,0
309,2016-03-14 08:28:23.604945,1,2016,3,14,0
310,2017-02-02 18:24:00.000000,1,2017,2,2,0
311,2018-08-19 17:09:19.000000,1,2018,8,19,1
312,2018-03-05 06:18:10.000000,0,2018,3,5,0
313,2017-12-26 05:38:41.000000,1,2017,12,26,0
314,2017-03-04 11:36:14.000000,1,2017,3,4,1
315,2017-07-05 16:48:31.000000,0,2017,7,5,0
316,2016-10-08 08:08:33.641949,1,2016,10,8,1
317,2018-03-04 15:25:33.000000,1,2018,3,4,1
318,2016-10-28 16:09:03.721999,1,2016,10,28,0
319,2018-05-03 18:59:58.000000,0,2018,5,3,0
320,2017-07-18 16:09:58.000000,1,2017,7,18,0
321,2018-08-07 13:37:43.000000,1,2018,8,7,0
322,2017-04-06 18:53:19.000000,0,2017,4,6,0
323,2018-06-07 12:17:35.000000,0,2018,6,7,0
324,2018-03-02 20:45:35.000000,1,2018,3,2,0
325,2018-02-06 06:48:26.000000,0,2018,2,6,0
326,2017-09-26 13:26:15.000000,1,2017,9,26,0
327,2017-08-02 14:44:34.000000,1,2017,8,2,0
328,2017-08-31 09:07:30.000000,0,2017,8,31,0
329,2018-09-27 17:58:49.000000,1,2018,9,27,0
330,2018-07-08 19:33:53.000000,0,2018,7,8,1
331,2017-11-15 11:10:10.000000,0,2017,11,15,0
332,2016-12-21 08:39:16.000000,1,2016,12,21,0
333,2016-10-15 09:01:46.434192,0,2016,10,15,1
334,2015-12-14 15:05:11.000000,1,2015,12,14,0
335,2017-03-30 12:34:31.000000,0,2017,3,30,0
336,2016-06-13 09:27:46.577173,0,2016,6,13,0
337,2017-09-17 22:42:15.000000,0,2017,9,17,1
338,2016-09-03 13:51:20.776403,1,2016,9,3,1
339,2016-07-07 10:24:24.000000,1,2016,7,7,0
340,2018-12-19 11:42:23.000000,1,2018,12,19,0
341,2017-08-13 19:28:31.000000,1,2017,8,13,1
342,2018-05-08 08:32:36.000000,1,2018,5,8,0
343,2018-06-14 07:37:17.000000,0,2018,6,14,0
344,2018-03-07 04:38:56.000000,0,2018,3,7,0
345,2017-04-27 11:12:46.000000,0,2017,4,27,0
346,2018-04-27 20:24:44.000000,1,2018,4,27,0
347,2017-08-03 01:36:45.000000,0,2017,8,3,0
348,2017-10-11 07:36:29.000000,0,2017,10,11,0
349,2017-11-11 06:57:37.000000,1,2017,11,11,1
350,2018-02-07 17:17:45.000000,1,2018,2,7,0
351,2018-05-17 13:57:40.000000,1,2018,5,17,0
352,2018-09-06 18:13:59.000000,0,2018,9,6,0
353,2018-08-09 13:19:35.000000,0,2018,8,9,0
354,2018-01-11 12:18:17.000000,0,2018,1,11,0
355,2017-03-01 09:01:39.000000,0,2017,3,1,0
356,2017-07-10 13:52:34.000000,0,2017,7,10,0
357,2018-07-02 15:31:00.000000,1,2018,7,2,0
358,2018-10-17 09:36:42.000000,1,2018,10,17,0
359,2018-03-10 22:58:23.000000,0,2018,3,10,1
360,2017-11-08 11:37:29.000000,1,2017,11,8,0
361,2017-12-08 18:08:00.000000,0,2017,12,8,0
362,2017-08-04 03:44:29.000000,1,2017,8,4,0
363,2018-03-04 06:49:23.000000,0,2018,3,4,1
364,2018-05-25 19:03:53.000000,0,2018,5,25,0
365,2017-01-04 15:32:35.000000,1,2017,1,4,0
366,2017-10-25 11:43:58.000000,1,2017,10,25,0
367,2016-06-16 07:37:08.815155,0,2016,6,16,0
368,2017-05-26 17:34:37.000000,0,2017,5,26,0
369,2018-07-05 06:17:12.000000,1,2018,7,5,0
370,2016-08-17 14:18:13.498301,0,2016,8,17,0
371,2018-01-17 18:28:53.000000,0,2018,1,17,0
372,2017-09-13 10:20:29.000000,0,2017,9,13,0
373,2017-02-21 12:59:40.000000,0,2017,2,21,0
374,2017-06-02 13:25:35.000000,0,2017,6,2,0
375,2017-08-29 11:56:26.000000,0,2017,8,29,0
376,2017-05-06 19:43:04.000000,1,2017,5,6,1
377,2018-06-29 12:06:14.000000,0,2018,6,29,0
378,2017-09-05 15:49:55.000000,1,2017,9,5,0
379,2017-05-19 08:10:48.000000,1,2017,5,19,0
380,2017-03-12 08:15:57.000000,0,2017,3,12,1
381,2018-09-01 07:39:59.000000,0,2018,9,1,1
382,2018-01-04 15:00:44.000000,0,2018,1,4,0
383,2018-05-01 08:19:39.000000,0,2018,5,1,0
384,2018-05-11 08:01:42.000000,0,2018,5,11,0
385,2018-07-04 12:51:09.000000,0,2018,7,4,0
386,2018-01-03 16:22:58.000000,0,2018,1,3,0
387,2017-11-24 16:49:08.000000,0,2017,11,24,0
388,2016-06-21 11:26:38.000000,0,2016,6,21,0
389,2017-09-27 11:25:54.000000,0,2017,9,27,0
390,2016-09-24 04:53:47.468062,0,2016,9,24,1
391,2017-05-09 04:26:58.000000,0,2017,5,9,0
392,2018-06-30 06:00:15.000000,0,2018,6,30,1
393,2017-09-25 12:16:43.000000,0,2017,9,25,0
394,2016-11-19 11:55:36.041870,0,2016,11,19,1
395,2017-04-13 16:25:42.000000,0,2017,4,13,0
396,2016-10-10 12:20:18.367328,0,2016,10,10,0
397,2018-02-12 08:29:42.000000,0,2018,2,12,0
398,2016-08-30 11:01:41.879989,0,2016,8,30,0
399,2016-09-11 08:14:06.034076,0,2016,9,11,1
400,2017-08-09 13:07:43.000000,0,2017,8,9,0
